date;diario
03/04/2020;0
04/04/2020;0
05/04/2020;2
06/04/2020;0
07/04/2020;3
08/04/2020;1
09/04/2020;14
10/04/2020;11
11/04/2020;6
12/04/2020;7
13/04/2020;20
14/04/2020;8
15/04/2020;8
16/04/2020;15
17/04/2020;24
18/04/2020;8
19/04/2020;13
20/04/2020;10
21/04/2020;11
22/04/2020;20
23/04/2020;24
24/04/2020;-15
25/04/2020;17
26/04/2020;101
27/04/2020;26
28/04/2020;31
29/04/2020;27
30/04/2020;50
01/05/2020;39
02/05/2020;43
03/05/2020;37
04/05/2020;21
05/05/2020;0
07/05/2020;123
08/05/2020;0
09/05/2020;91
10/05/2020;58
11/05/2020;33
12/05/2020;31
13/05/2020;28
14/05/2020;34
15/05/2020;46
16/05/2020;91
17/05/2020;57
18/05/2020;37
19/05/2020;67
20/05/2020;64
21/05/2020;72
22/05/2020;87
23/05/2020;40
24/05/2020;43
25/05/2020;28
26/05/2020;29
27/05/2020;44
28/05/2020;49
29/05/2020;70
30/05/2020;40
31/05/2020;38
01/06/2020;33
02/06/2020;33
03/06/2020;35
04/06/2020;40
05/06/2020;40
06/06/2020;26
07/06/2020;30
08/06/2020;17
09/06/2020;15
10/06/2020;21
11/06/2020;56
12/06/2020;21
13/06/2020;49
14/06/2020;15
15/06/2020;15
16/06/2020;25
17/06/2020;18
18/06/2020;27
19/06/2020;19
20/06/2020;28
21/06/2020;23
22/06/2020;15
23/06/2020;12
24/06/2020;19
25/06/2020;21
26/06/2020;23
27/06/2020;30
28/06/2020;25
29/06/2020;7
30/06/2020;11
01/07/2020;9
02/07/2020;29
03/07/2020;16
04/07/2020;10
05/07/2020;18
06/07/2020;8
07/07/2020;21
08/07/2020;30
09/07/2020;19
10/07/2020;23
11/07/2020;10
12/07/2020;22
13/07/2020;12
14/07/2020;11
15/07/2020;25
16/07/2020;34
17/07/2020;20
18/07/2020;20
19/07/2020;19
20/07/2020;15
21/07/2020;4
22/07/2020;20
23/07/2020;36
24/07/2020;30
25/07/2020;28
26/07/2020;18
27/07/2020;14
28/07/2020;13
29/07/2020;30
30/07/2020;23
31/07/2020;17
01/08/2020;26
02/08/2020;21
03/08/2020;17
04/08/2020;8
05/08/2020;17
06/08/2020;22
07/08/2020;16
08/08/2020;24
09/08/2020;15
10/08/2020;4
11/08/2020;10
12/08/2020;20
13/08/2020;18
14/08/2020;23
15/08/2020;19
16/08/2020;5
17/08/2020;5
18/08/2020;12
19/08/2020;18
20/08/2020;9
21/08/2020;15
22/08/2020;8
23/08/2020;13
24/08/2020;8
25/08/2020;9
26/08/2020;16
27/08/2020;18
28/08/2020;8
29/08/2020;23
30/08/2020;16
31/08/2020;4
01/09/2020;120
02/09/2020;32
03/09/2020;16
04/09/2020;12
05/09/2020;25
07/09/2020;18
08/09/2020;3
09/09/2020;7
10/09/2020;11
11/09/2020;19
12/09/2020;11
13/09/2020;2
14/09/2020;2
15/09/2020;27
16/09/2020;17
17/09/2020;14
18/09/2020;16
19/09/2020;5
20/09/2020;0
21/09/2020;2
22/09/2020;4
23/09/2020;4
24/09/2020;7
25/09/2020;12
26/09/2020;3
27/09/2020;2
28/09/2020;0
29/09/2020;23
30/09/2020;4
01/10/2020;13
02/10/2020;7
03/10/2020;15
04/10/2020;2
05/10/2020;0
06/10/2020;7
07/10/2020;22
08/10/2020;22
09/10/2020;15
10/10/2020;15
11/10/2020;5
12/10/2020;3
13/10/2020;2
14/10/2020;5
18/10/2020;43
19/10/2020;1
20/10/2020;4
21/10/2020;8
22/10/2020;5
23/10/2020;6
24/10/2020;15
25/10/2020;8
26/10/2020;2
27/10/2020;10
28/10/2020;9
29/10/2020;10
30/10/2020;12
31/10/2020;4
01/11/2020;3
02/11/2020;2
03/11/2020;3
04/11/2020;3
05/11/2020;7
06/11/2020;12
07/11/2020;5
08/11/2020;4
09/11/2020;7
10/11/2020;13
11/11/2020;13
12/11/2020;24
13/11/2020;38
14/11/2020;25
15/11/2020;6
16/11/2020;4
17/11/2020;7
18/11/2020;22
19/11/2020;10
20/11/2020;5
21/11/2020;14
